ID,Binomial,Country,Latitude,Longitude,Class,Order,Family,Genus,Species,System,Units,Native,Included in LPR2024,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1445,Gadus_morhua,United Kingdom,55.0,4.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning stock biomass (Thousand tonnes),1,0,271.0,269.0,217.0,194.0,210.0,188.0,162.0,142.0,143.0,148.0,161.0,174.0,168.0,135.0,116.0,107.0,95.0,86.0,85.0,76.0,63.0,62.0,60.0,57.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1446,Gadus_morhua,Canada,42.36972,-65.08611,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,RV survey Biomass index kg/tow,1,0,28.0,13.0,17.0,10.0,16.0,22.0,17.0,19.0,13.0,21.0,16.0,18.0,17.0,14.0,16.0,20.0,12.0,11.0,30.0,14.0,22.0,14.0,13.0,7.0,13.0,12.0,20.0,13.0,14.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,
1447,Gadus_morhua,Norway,58.0,10.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning stock biomass (tonnes),1,0,,,,,,,,,20301.0,22498.0,26871.0,31860.0,32546.0,23918.0,20760.0,21579.0,19988.0,14280.0,23497.0,20707.0,21494.0,17492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531,Gadus_morhua,Norway,62.0,10.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Population estimate,1,0,,,,,,,,,,,,,,,310.401,294.565,291.876,257.187,234.349,202.709,219.986,260.478,306.721,322.891,327.898,309.722,281.116,232.857,199.69,164.543,151.538,130.557,121.818,90.691,,,,,,,,,,,,,,,,,
2532,Gadus_morhua,Norway,74.0,36.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Population estimate,1,0,2057698.0,1610969.0,1621485.0,2401955.0,2236387.0,2037430.0,1931396.0,1950748.0,1576565.0,1114380.0,863861.0,983656.0,750868.0,738666.0,817561.0,956772.0,1292252.0,1120019.0,913053.0,891080.0,963046.0,1560102.0,1909707.0,2355498.0,2148691.0,1814760.0,1700706.0,1525878.0,1220825.0,1097084.0,1107866.0,1393393.0,1593491.0,1814674.0,1590090.0,1588486.0,1552659.0,1918298.0,2616901.0,3223175.0,3454311.0,3559490.0,3545400.0,3672119.0,,,,,,,
4412,Gadus_morhua,Canada,57.13333,-60.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Biomass index (tonnes x 1000),1,1,,,,,,,,,35.0,23.0,,100.0,,,,,14.0,3.0,5.0,,,4.0,,,,,5.0,4.0,4.5,4.0,,,,,,,,,,,,,,,,,,,,,
4482,Gadus_morhua,Canada,47.0,-63.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Population abundance age 3 (millions),1,0,47.0,91.0,34.0,51.0,56.0,51.0,141.0,206.0,220.0,181.0,201.0,166.0,341.0,455.0,266.0,267.0,238.0,201.0,141.0,125.0,176.0,161.0,69.0,75.0,65.0,81.0,62.0,97.0,94.0,84.0,75.0,53.0,62.0,82.0,97.0,53.0,31.0,38.0,25.0,31.0,,,,,,,,,,,
4483,Gadus_morhua,Canada,47.0,-63.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Population abundance age 3+ (millions),1,0,209.0,226.0,195.0,154.0,151.0,148.0,239.0,383.0,519.0,580.0,641.0,605.0,752.0,972.0,948.0,940.0,895.0,820.0,608.0,462.0,423.0,389.0,278.0,216.0,198.0,220.0,205.0,234.0,252.0,237.0,213.0,182.0,169.0,180.0,197.0,166.0,122.0,103.0,86.0,78.0,,,,,,,,,,,
4493,Gadus_morhua,Canada,50.44083,-47.89333,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,SSB-MT,1,0,,,,,,,,,,,,,,735000.0,732000.0,822000.0,766000.0,814000.0,822000.0,839000.0,765000.0,747000.0,354000.0,83000.0,27000.0,9000.0,15000.0,20000.0,29000.0,35000.0,34000.0,30000.0,24000.0,24000.0,22000.0,25000.0,41000.0,84000.0,111000.0,105000.0,93000.0,94000.0,117000.0,170000.0,238000.0,277000.0,340000.0,433000.0,394000.0,419000.0,440000.0
4494,Gadus_morhua,Canada,49.08333,-60.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning stock biomass (SSB),1,0,,,,,197850.0,180104.0,178109.0,182460.0,190156.0,207543.0,235882.0,271086.0,256478.0,291145.0,240296.0,250713.0,265940.0,198773.0,121342.0,121325.0,56422.0,45857.0,28601.0,18097.0,5336.0,11849.0,13567.0,16026.0,16773.0,21627.0,20497.0,20584.0,19595.0,19743.0,25893.0,29048.0,25537.0,20956.0,16472.0,17008.0,16291.0,,,,,,,,,,
